Fundamental 2 Estadual,3.3,3.5,3.8,4.2,4.5,4.8,5.1,5.3
Fundamental 2 Municipal,3.1,3.3,3.5,3.9,4.3,4.6,4.9,5.1
Fundamental 2 Privado,5.8,6.0,6.2,6.5,6.8,7.0,7.1,7.3
Fundamental 2 Público,3.3,3.4,3.7,4.1,4.5,4.7,5.0,5.2
