Fundamental 2 Estadual,3.3,3.6,3.8,3.9,4.0,4.2,4.5
Fundamental 2 Municipal,3.1,3.4,3.6,3.8,3.8,4.1,4.3
Fundamental 2 Privada,5.8,5.8,5.9,6.0,5.9,6.1,6.4
Fundamental 2 Pública,3.2,3.5,3.7,3.9,4.0,4.2,4.4
