Fundamental 1 Estadual,4.0,4.3,4.7,5.0,5.3,5.6,5.9,6.1
Fundamental 1 Municipal,3.5,3.8,4.2,4.5,4.8,5.1,5.4,5.7
Fundamental 1 Privado,6.0,6.3,6.6,6.8,7.0,7.2,7.4,7.5
Fundamental 1 Público,3.6,4.0,4.4,4.7,5.0,5.2,5.5,5.8
